Household ID|Year|Card Usage Code 
01100453|1986|11111111111111111111111111111100111111111111111111110
01100453|1987|11111111111111111111111111111111111101111111111111110
01100453|1988|11111111111111111111111111111111110110000000000000000
01100487|1985|11101111111111111111110111110011111111011001111011110
01100487|1986|10101111110011111111111101111101111111101111011111100
01100487|1987|01110111111111111101011111101000011111100110011101110
01100487|1988|11111111111111011111111100100010110110000000000000000
01100578|1985|00000111111111111111111111111111111110111111111111110
01100578|1986|11111111110111111111111111111111111101111111111111110
01100578|1987|11111111111111111111110111111111111111111111111111110
01100578|1988|11111111111111111111111111111111111110000000000000000
01100586|1985|11111111111111111101111111111111111111001111111111110
01100586|1986|11111111111111111111111111111111111111111111111111110
01100586|1987|11111111111111111111111110111111111111110111111111110
01100586|1988|11111111111111111111111111111111111110000000000000000
01100602|1985|11111111111010111111111111111111111111111111111111110
01100602|1986|11111111111111111111111111111111111111111111111111110
01100602|1987|11111111111111111111101111111111111111111111111111110
01100602|1988|11111111111111101111111111111111111110000000000000000
01100628|1985|11101111111111111111111111111111111111111111111111110
01100628|1986|11111111111111111111111111111111111111111111111111110
01100628|1987|11111111111111111110111111111111111111111111111111110
01100628|1988|11111111111111111111111111111111111110000000000000000
01100644|1985|11101111101111111111111110111111111111111111111111110
01100644|1986|11111111111111111111111111111111111111111111111111110
01100644|1987|11111111111111111111111111111111111111111111111111110
01100644|1988|11111111111111111111111111101111111110000000000000000
01100651|1985|11101111111111111111111101111111111111111111111111110
01100651|1986|11111111111111111111111011111111111111111111111111110
01100651|1987|11111111111111111111111011110101111111111111111111110
01100651|1988|11111111111111111111111111111111111110000000000000000
01100677|1985|11111111111101111110111111111111011111111111111111110
01100677|1986|11111111111111111111111111011101110111111011111011110
01100677|1987|11110111110110111111111111111111110111101001110111110
01100677|1988|11011110110010111111111011111101111110000000000000000
01100701|1985|00011111100111111111111111100111111111101111111111110
01100701|1986|11111111111111111111111111011111111111111111111111110
01100701|1987|11111110111111111111111011111011111110110011011110100
01100701|1988|11111111111011111111111111111011111110000000000000000
01100719|1985|11101111111101111111111101111001111110111111111101100
01100719|1986|01111111011111111111101111101001111111111111110111100
01100719|1987|11110110111110011011100111111001111101111111111101110
