0100390022222026610198608YNNNLNNY000009901  
0100390022222026610198609NNYN NNN000012501  
0200140036800437610198721NNNY NNN000030901  
0200140036800437610198722NNYN NNN000030901  
0200140036800437610198723NNNY NNN000030901  
0200060036800441160198510YNNN NNN000011901  
0200080036800441160198510YNNN NNN000011901  
0200010036800441160198511NNNNMNNY000011901  
0200050036800441160198511YNNNMNNY000011901  
0200060036800441160198511YNNNMNNY000011901  
0200080036800441160198511YNNNMNNY000011901  
0200090036800441160198511YNNNMNNY000011901  
0200110036800441160198511NNNNMNNY000011901  
0200120036800441160198511YNNNMNNY000011901  
0200140036800441160198511YNNNMNNY000011901  
0200150036800441160198511YNNNMNNY000011901  
0200010036800441160198512YNNN NNN000011901  
0200050036800441160198512YNNN NNN000011901  
0200060036800441160198512YNNN NNN000011901  
0200080036800441160198512YNNN NNN000011901  
0200090036800441160198512YNNN NNN000011901  
0200110036800441160198512YNNN NNN000011901  
0200120036800441160198512YNNN NNN000011901  
0200140036800441160198512YNNN NNN000011901  
0200150036800441160198512YNNN NNN000011901  
0200010036800441160198513YNNN NNN000011901  
0200050036800441160198513YNNN NNN000011901  
0200060036800441160198513YNNN NNN000011901  
0200080036800441160198513YNNN NNN000011901  
0200090036800441160198513YNNN NNN000011901  
0200110036800441160198513YNNN NNN000011901  
0200120036800441160198513YNNN NNN000011901  
0200140036800441160198513YNNN NNN000011901  
0200150036800441160198513YNNN NNN000011901  
0200010036800441160198514YNNNMNNN000011901  
0200050036800441160198514NNNNMNNN000011901  
0200060036800441160198514YNNNMNNN000011901  
0200080036800441160198514YNNNMNNN000011901  
0200090036800441160198514YNNNMNNN000011901  
0200110036800441160198514YNNNMNNN000011901  
0200120036800441160198514YNNNMNNN000011901  
0200140036800441160198514YNNNMNNN000011901  
0200150036800441160198514YNNNMNNN000011901  
0200010036800441160198515YNNN NNN000011901  
0200060036800441160198515YNNN NNN000011901  
0200090036800441160198515YNNN NNN000011901  
0200110036800441160198515YNNN NNN000011901  
0200010036800441160198516YNNNMNNN000011901  
0200050036800441160198516NNNNMNNN000011901  
0200060036800441160198516NYNNMNNN000011901  
0200080036800441160198516NNNNMNNN000011901  
0200090036800441160198516NNNNMNNN000011901  
0200110036800441160198516YNNNMNNN000011901  
0200120036800441160198516YNNNMNNN000011901  
0200140036800441160198516YNNNMNNN000011901  
0200150036800441160198516YNNNMNNN000011901  
0200010036800441160198517YNNN NNN000011901  
0200060036800441160198517YNNN NNN000011901  
0200120036800441160198517YNNN NNN000011901  
0200150036800441160198517YNNN NNN000011901  
0200060036800441160198518YNNN NNN000011901  
0200120036800441160198518YNNN NNN000011901  
0200060036800441160198519YNNN NNN000011901  
0200120036800441160198519YNNN NNN000011901  
0200060036800441160198520YNNN NNN000011901  
0200120036800441160198520YNNN NNN000011901  
0200060036800441160198521YNNN NNN000011901  
0200010036800441160198530YNNNMNNY000009901  
0200050036800441160198530NNNNMNNY000009901  
0200060036800441160198530NNNNMNNY000009901  
0200080036800441160198530YNNNMNNY000009901  
0200090036800441160198530NNNNMNNY000009901  
0200110036800441160198530NNNNMNNY000009901  
0200120036800441160198530NNNNMNNY000009901  
0200140036800441160198530NNNNMNNY000009901  
0200150036800441160198530YNNNMNNY000009901  
0200010036800441160198531YNNNLNNN000009901  
0200050036800441160198531YNNNLNNN000009901  
0200060036800441160198531NNNNLNNN000009901  
0200080036800441160198531YNNNLNNN000009901  
0200090036800441160198531YNNNLNNN000009901  
0200110036800441160198531NNNNLNNN000009901  
0200120036800441160198531YNNNLNNN000009901  
0200140036800441160198531YNNNLNNN000009901  
0200150036800441160198531YNNNLNNN000009901  
0200010036800441160198532YNNN NNN000009901  
0200080036800441160198532YNNN NNN000009901  
0200090036800441160198532YNNN NNN000009901  
0200110036800441160198532YNNN NNN000009901  
0200120036800441160198532YNNN NNN000009901  
0200140036800441160198532YNNN NNN000009901  
0200150036800441160198532YNNN NNN000009901  
0200010036800441160198533YNNN NNN000009901  
0200080036800441160198533YNNN NNN000009901  
0200090036800441160198533YNNN NNN000009901  
0200110036800441160198533YNNN NNN000009901  
0200120036800441160198533YNNN NNN000009901  
0200140036800441160198533YNNN NNN000009901  
0200150036800441160198533YNNN NNN000009901  
0200010036800441160198534YNNN NNN000013501  
0200080036800441160198534YNNN NNN000009901  
0200120036800441160198534YNNN NNY000009901  
0200140036800441160198534YNNN NNN000009901  
