Household ID|Year|Card Usage Code 
01100297|1986|11111111111011111111111111111111111111111111111111110
01100297|1987|11111111111111111111111111111111111111111111111111110
01100313|1985|11001111111111111111111111111111111111011111111111100
01100313|1986|11011111111011111110111111111111110011111111111111110
01100313|1987|01111111111111111011111011111111111111111101111111110
01100321|1985|11001111111111111111101111111111111111110111111111110
01100321|1986|11111011111011010110111111111111111111111111111111110
01100321|1987|11111111111101111111111111111111111110001000000000000
01100339|1985|11111111101011111111111011110110011111111101111111110
01100339|1986|11111111111111111111111111111110101111111111111111110
01100339|1987|11111111111111110111111111111111101111111111111011110
01100347|1985|11101111101111101111111111111111111111111111111111110
01100347|1986|11111111111011111111111111111111111111111111111111110
01100347|1987|11111111111111111111111111111111111111111111111111110
01100354|1985|11101111111111101111111111111111111111111111111111110
01100354|1986|11111111111111111111111111111111111111111111111111110
01100354|1987|11111111111111111111111111111111111111111111111111110
01100370|1985|01111111101111111110111111111111111111011111111111110
01100370|1986|11111010111111111111111011111011111111111111111111110
01100370|1987|11111111111111111111101111111111111111111111111111110
01100396|1985|11101111111111111111111111111011111111111111111111110
01100396|1986|11111111111111111111111111101111111111101111111111110
01100396|1987|11111111110111111101111110111011110111111111111111110
01100404|1985|10111111111111111111111111111111111110111111111111110
01100404|1986|11111111110111111111111111111111111110111111110111110
01100404|1987|11111111111111111011111111111111111111101111111111110
01100420|1985|11101111101111101111111111111111111111110110110111000
01100446|1985|11101111111111111001111111111111111111111111101111100
01100446|1986|10100101111111111011001000000100000000000000000000000
01100446|1987|00000000000000000000000110000000000000000000000000000
01100453|1985|11001111111111111111111111111111110111111111111111100
01100453|1986|11111111111111111111111111111100111111111111111111110
01100453|1987|11111111111111111111111111111111111101111111111111110
01100461|1985|11101111111111111111111111111111111111111111111110110
01100461|1986|11111011111111100000100000000000000000000000000000000
01100479|1985|11111111111110111111110000000001100000001001110011000
01100479|1986|00111111011101111110011100111000001110000000000000000
01100487|1985|11101111111111111111110111110011111111011001111011110
01100487|1986|10101111110011111111111101111101111111101111011111100
01100487|1987|01110111111111111101011111101000011111100110011101110
01100511|1985|11101111111011111111111111000111100111111101111101100
01100511|1986|01111111111111111111111111111110001111111111110000100
