0200280030400000010198527YNNN NNN000009901  
0200220030400000010198528YNNNMNNY000008901  
0200230030400000010198528NYNNMNNY000008901  
0200250030400000010198528NNNNMNNY000008901  
0200270030400000010198528NNNNMNNY000008901  
0200280030400000010198528YNNNMNNY000008901  
0200280030400000010198529YNNN NNN000009901  
0200280030400000010198530YNNN NNN000009901  
0200280030400000010198531YNNN NNN000009901  
0200300030400000010198545YNNN NNN000009901  
0200300030400000010198546YNNN NNY000007901  
0200310030400000010198546YNNN NNY000007901  
0200300030400000010198547YNNN NNY000007901  
0200310030400000010198547YNNN NNY000007901  
0200300030400000010198548YNNN NNY000007901  
0200310030400000010198548YNNN NNY000007901  
0200300030400000010198549YNNN NNY000007901  
0200220030400000010198552NNNNMNNY000007901  
0200230030400000010198552NNNNMNNY000007901  
0200250030400000010198552NNNNMNNY000007901  
0200270030400000010198552NNNNMNNY000007901  
0200280030400000010198552NNNNMNNY000007901  
0200300030400000010198630NNNNMNNY000006901  
0200310030400000010198630NNNNMNNY000006901  
0200400030400000010198630NNNNMNNY000006901  
0100430030400000480198713NNNYLNNY000008901  
0100160030400000480198715YNNNLNNY000008901  
0100180030400000480198715NNNNLNNY000008901  
0100210030400000480198715YNNNLNNY000008901  
0100240030400000480198715YNNN NNY000008901  
0100260030400000480198715NNNNLNNY000008901  
0100290030400000480198715NNNNLNNY000008901  
0100430030400000480198715YNNNLNNY000008901  
0100070030400000480198716YNNN NNY000007901  
0100160030400000480198716YNNN NNY000008901  
0100180030400000480198716YNNN NNY000008901  
0100210030400000480198716YNNN NNN000009901  
0100240030400000480198716YNNN NNY000008901  
0100290030400000480198716YNNN NNY000008901  
0100430030400000480198716YNNN NNN000009901  
0100070030400000480198717YNNN NYN000007901  
0100160030400000480198717YNNN NNY000008901  
0100180030400000480198717NNNY NNN000009901  
0100240030400000480198717YNNN NNY000008901  
0100260030400000480198717NYNN NNN000009901  
0100430030400000480198717YNNNLNNY000009901  
0100210030400000480198718YNNN NNN000009901  
0100260030400000480198718NYNN NNN000009901  
0100430030400000480198718YNNN NNY000009901  
0100430030400000480198723YNNNLNNY000009901  
0200270030400000480198710YNNN NNN000011901  
0200220030400000480198711YNNN NNY000009901  
0200220030400000480198712YNNN NNN000011701  
0200250030400000480198712YNNN NNN000011901  
0200270030400000480198712YNNN NNN000011701  
0200220030400000480198713YNNN NNN000011701  
0200170030400000480198717NNNNMNNN000011701  
0200190030400000480198717YNNNMNNN000011701  
0200200030400000480198717NNNNMNNN000011701  
0200410030400000480198717NNNNMNNN000011701  
0200400030400000480198718YNNN NNY000009901  
0200410030400000480198718YNNN NNY000010501  
0200300030400000480198719YNNN NNY000009901  
0200310030400000480198719YNNN NNN000009901  
0200410030400000480198719YNNN NNY000010501  
0200220030400000480198720YNNN NNN000011701  
0200300030400000480198720YNNN NNY000009901  
0200410030400000480198720YNNN NNY000010501  
0200220030400000480198721YNNN NNN000011701  
0200300030400000480198721YNNN NNY000009901  
0200220030400000480198722YNNN NNN000011701  
0200220030400011650198619NNNNMNNY000019901  
0200230030400011650198619NNNNMNNY000019901  
0200250030400011650198619NNNNMNNY000019901  
0200270030400011650198619NNNNMNNY000019901  
0200280030400011650198619NNNNMNNY000019901  
0200170030400011650198622NNNNMNNY000020201  
0200190030400011650198622NNNNMNNY000020201  
0200200030400011650198622NNNNMNNY000020201  
0200250030400011650198622YNNN NNN000021401  
0200250030400011650198623YNNN NNN000021401  
0200170030400011650198626NNNNMNNY000019901  
0200190030400011650198626NNNNMNNY000019901  
0200200030400011650198626NNNNMNNY000019901  
0200410030400011650198626NNNNMNNY000019901  
0200170030400011650198630NNNNMNNY000018901  
0200190030400011650198630NNNNMNNY000018901  
0200200030400011650198630NNNNMNNY000018901  
0200410030400011650198630NNNNMNNY000018901  
0200300030400011650198631NNNNMNNY000014901  
0200310030400011650198631NNNNMNNY000014901  
0200400030400011650198631NNNNMNNY000014901  
0200170030400011650198632NNNNLNNY000019901  
0200190030400011650198632NNNNLNNY000019901  
0200200030400011650198632NNNNLNNY000019901  
0200410030400011650198632NNNNLNNY000019901  
0200400030400011650198634YNNN NNY000017901  
0200310030400011650198635YNNN NNY000018901  
0200300030400011650198643NNNNMNNY000017901  
0200310030400011650198643NNNNMNNY000017901  
0200400030400011650198643NNNNMNNY000017901  
0200250030400011650198704YNNN NNN000021301  
0200220030400011650198706NNNNMNNY000017901  
0200230030400011650198706NNNNMNNY000017901  
0200250030400011650198706NNNNMNNY000017901  
0200270030400011650198706NNNNMNNY000017901  
0200280030400011650198706NNNNMNNY000017901  
0200310030400011650198706YNNN NNY000018901  
0200270030400011650198707YNNN NNN000017901  
0200310030400011650198707YNNN NNY000018901  
0200270030400011650198708YNNN NNN000021301  
0200220030400011650198710YNNN NNN000021301  
0200220030400011650198711YNNN NNN000021301  
0200220030400011650198712YNNN NNN000021301  
0200220030400011650198723NNNNMNNY000018901  
0200230030400011650198723NNNNMNNY000018901  
0200250030400011650198723NNNNMNNY000018901  
0200270030400011650198723NNNNMNNY000018901  
0200280030400011650198723NNNNMNNY000018901  
0100160030400011680198523YNNN NNN000019901  
0100260030400011680198523NNNY NNN000019901  
0100290030400011680198523NNNY NNN000019901  
0100160030400011680198524YNNN NNN000019901  
0100180030400011680198524YNNN NNN000019901  
0100240030400011680198524YNNN NNN000019901  
0100260030400011680198524NNNY NNN000019901  
0100240030400011680198525YNNN NNY000019901  
0100240030400011680198526YNNN NNY000019901  
0100240030400011680198528NNNY NNN000019901  
0100240030400011680198529NNNN NNN000019901  
0100240030400011680198530YNNN NNN000019901  
0100240030400011680198532YNNN NNN000019901  
0200220030400011680198508NNNNMNNY000017901  
0200230030400011680198508NNNNMNNY000017901  
0200250030400011680198508NNNNMNNY000017901  
0200270030400011680198508NNNNMNNY000017901  
0200280030400011680198508NNNNMNNY000017901  
0200010030400011680198509YNNN NNN000019601  
0200010030400011680198510YNNN NNY000019601  
0200010030400011680198511YNNN NNY000019601  
0200230030400011680198520NYNN NNN000019501  
